id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
0,married,regularly,yes,3.0,school_bus,< 5
1,married,sometimes,yes,0.0,,5 - 10
2,single,sometimes,yes,4.0,school_bus,< 5
3,married,never,no,1.0,,5 - 10
4,married,sometimes,yes,0.0,school_bus,5 - 10
5,married,regularly,yes,1.0,school_bus,5 - 10
6,widowed,never,no,1.0,private,5 - 10
7,married,sometimes,yes,1.0,private,> 10
8,single,sometimes,no,3.0,private,> 10
9,married,regularly,yes,,private,< 5
10,,sometimes,yes,1.0,private,5 - 10
11,divorced,sometimes,yes,1.0,school_bus,5 - 10
12,married,regularly,no,1.0,private,5 - 10
13,single,sometimes,yes,1.0,private,> 10
14,divorced,sometimes,yes,2.0,private,< 5
15,married,sometimes,yes,0.0,private,
16,married,sometimes,yes,0.0,school_bus,5 - 10
17,divorced,sometimes,yes,1.0,school_bus,5 - 10
18,single,sometimes,no,1.0,private,5 - 10
19,married,never,yes,3.0,private,< 5
20,married,sometimes,yes,5.0,school_bus,5 - 10
21,married,sometimes,no,2.0,school_bus,5 - 10
22,married,never,yes,5.0,,5 - 10
23,divorced,never,no,3.0,,5 - 10
24,married,sometimes,yes,2.0,school_bus,5 - 10
25,married,regularly,yes,1.0,school_bus,5 - 10
26,married,sometimes,yes,5.0,school_bus,< 5
27,married,sometimes,yes,4.0,school_bus,> 10
28,married,sometimes,no,1.0,private,5 - 10
29,single,sometimes,yes,0.0,private,< 5
30,single,sometimes,yes,5.0,,5 - 10
31,divorced,sometimes,yes,1.0,school_bus,5 - 10
32,married,sometimes,no,2.0,private,5 - 10
33,divorced,sometimes,yes,0.0,school_bus,
34,single,sometimes,no,,school_bus,5 - 10
35,married,regularly,no,2.0,private,5 - 10
36,married,regularly,yes,1.0,private,5 - 10
37,married,regularly,no,1.0,school_bus,5 - 10
38,single,regularly,yes,5.0,school_bus,5 - 10
39,married,never,yes,0.0,school_bus,5 - 10
40,divorced,regularly,no,1.0,,5 - 10
41,married,regularly,yes,3.0,school_bus,5 - 10
42,married,sometimes,yes,5.0,school_bus,< 5
43,single,sometimes,yes,3.0,school_bus,< 5
44,married,regularly,yes,,private,5 - 10
45,married,sometimes,,3.0,,5 - 10
46,married,,no,3.0,school_bus,> 10
47,married,regularly,no,2.0,private,< 5
48,divorced,regularly,yes,3.0,school_bus,> 10
49,single,sometimes,yes,2.0,school_bus,5 - 10
50,married,regularly,yes,,private,> 10
51,divorced,sometimes,yes,2.0,private,5 - 10
52,married,sometimes,yes,3.0,school_bus,> 10
53,single,sometimes,no,2.0,private,5 - 10
54,married,regularly,no,1.0,private,> 10
55,single,regularly,yes,3.0,school_bus,> 10
56,married,sometimes,yes,,school_bus,5 - 10
