id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
0,married,regularly,yes,3.0,school_bus,< 5,female,group B,bachelor's degree,standard,none,72,72,74
1,married,sometimes,yes,0.0,,5 - 10,female,group C,some college,standard,completed,69,90,88
2,single,sometimes,yes,4.0,school_bus,< 5,female,group B,master's degree,standard,none,90,95,93
3,married,never,no,1.0,,5 - 10,male,group A,associate's degree,free/reduced,none,47,57,44
4,married,sometimes,yes,0.0,school_bus,5 - 10,male,group C,some college,standard,none,76,78,75
5,married,regularly,yes,1.0,school_bus,5 - 10,female,group B,associate's degree,standard,none,71,83,78
6,widowed,never,no,1.0,private,5 - 10,female,group B,some college,standard,completed,88,95,92
7,married,sometimes,yes,1.0,private,> 10,male,group B,some college,free/reduced,none,40,43,39
8,single,sometimes,no,3.0,private,> 10,male,group D,high school,free/reduced,completed,64,64,67
9,married,regularly,yes,,private,< 5,female,group B,high school,free/reduced,none,38,60,50
10,,sometimes,yes,1.0,private,5 - 10,male,group C,associate's degree,standard,none,58,54,52
11,divorced,sometimes,yes,1.0,school_bus,5 - 10,male,group D,associate's degree,standard,none,40,52,43
12,married,regularly,no,1.0,private,5 - 10,female,group B,high school,standard,none,65,81,73
13,single,sometimes,yes,1.0,private,> 10,male,group A,some college,standard,completed,78,72,70
14,divorced,sometimes,yes,2.0,private,< 5,female,group A,master's degree,standard,none,50,53,58
15,married,sometimes,yes,0.0,private,,female,group C,some high school,standard,none,69,75,78
16,married,sometimes,yes,0.0,school_bus,5 - 10,male,group C,high school,standard,none,88,89,86
17,divorced,sometimes,yes,1.0,school_bus,5 - 10,female,group B,some high school,free/reduced,none,18,32,28
18,single,sometimes,no,1.0,private,5 - 10,male,group C,master's degree,free/reduced,completed,46,42,46
19,married,never,yes,3.0,private,< 5,female,group C,associate's degree,free/reduced,none,54,58,61
20,married,sometimes,yes,5.0,school_bus,5 - 10,male,group D,high school,standard,none,66,69,63
21,married,sometimes,no,2.0,school_bus,5 - 10,female,group B,some college,free/reduced,completed,65,75,70
22,married,never,yes,5.0,,5 - 10,male,group D,some college,standard,none,44,54,53
23,divorced,never,no,3.0,,5 - 10,female,group C,some high school,standard,none,69,73,73
24,married,sometimes,yes,2.0,school_bus,5 - 10,male,group D,bachelor's degree,free/reduced,completed,74,71,80
25,married,regularly,yes,1.0,school_bus,5 - 10,male,group A,master's degree,free/reduced,none,73,74,72
26,married,sometimes,yes,5.0,school_bus,< 5,male,group B,some college,standard,none,69,54,55
27,married,sometimes,yes,4.0,school_bus,> 10,female,group C,bachelor's degree,standard,none,67,69,75
28,married,sometimes,no,1.0,private,5 - 10,male,group C,high school,standard,none,70,70,65
29,single,sometimes,yes,0.0,private,< 5,female,group D,master's degree,standard,none,62,70,75
30,single,sometimes,yes,5.0,,5 - 10,female,group D,some college,standard,none,69,74,74
31,divorced,sometimes,yes,1.0,school_bus,5 - 10,female,group B,some college,standard,none,63,65,61
32,married,sometimes,no,2.0,private,5 - 10,female,group E,master's degree,free/reduced,none,56,72,65
33,divorced,sometimes,yes,0.0,school_bus,,male,group D,some college,standard,none,40,42,38
34,single,sometimes,no,,school_bus,5 - 10,male,group E,some college,standard,none,97,87,82
35,married,regularly,no,2.0,private,5 - 10,male,group E,associate's degree,standard,completed,81,81,79
36,married,regularly,yes,1.0,private,5 - 10,female,group D,associate's degree,standard,none,74,81,83
37,married,regularly,no,1.0,school_bus,5 - 10,female,group D,some high school,free/reduced,none,50,64,59
38,single,regularly,yes,5.0,school_bus,5 - 10,female,group D,associate's degree,free/reduced,completed,75,90,88
39,married,never,yes,0.0,school_bus,5 - 10,male,group B,associate's degree,free/reduced,none,57,56,57
40,divorced,regularly,no,1.0,,5 - 10,male,group C,associate's degree,free/reduced,none,55,61,54
41,married,regularly,yes,3.0,school_bus,5 - 10,female,group C,associate's degree,standard,none,58,73,68
42,married,sometimes,yes,5.0,school_bus,< 5,female,group B,associate's degree,standard,none,53,58,65
43,single,sometimes,yes,3.0,school_bus,< 5,male,group B,some college,free/reduced,completed,59,65,66
44,married,regularly,yes,,private,5 - 10,female,group E,associate's degree,free/reduced,none,50,56,54
45,married,sometimes,,3.0,,5 - 10,male,group B,associate's degree,standard,none,65,54,57
46,married,,no,3.0,school_bus,> 10,female,group A,associate's degree,standard,completed,55,65,62
47,married,regularly,no,2.0,private,< 5,female,group C,high school,standard,none,66,71,76
48,divorced,regularly,yes,3.0,school_bus,> 10,female,group D,associate's degree,free/reduced,completed,57,74,76
49,single,sometimes,yes,2.0,school_bus,5 - 10,male,group C,high school,standard,completed,82,84,82
50,married,regularly,yes,,private,> 10,male,group E,some college,standard,none,53,55,48
51,divorced,sometimes,yes,2.0,private,5 - 10,male,group E,associate's degree,free/reduced,completed,77,69,68
52,married,sometimes,yes,3.0,school_bus,> 10,male,group C,some college,standard,none,53,44,42
53,single,sometimes,no,2.0,private,5 - 10,male,group D,high school,standard,none,88,78,75
54,married,regularly,no,1.0,private,> 10,female,group C,some high school,free/reduced,completed,71,84,87
55,single,regularly,yes,3.0,school_bus,> 10,female,group C,high school,free/reduced,none,33,41,43
56,married,sometimes,yes,,school_bus,5 - 10,female,group E,associate's degree,standard,completed,82,85,86
57,married,sometimes,yes,5.0,private,5 - 10,male,group D,associate's degree,standard,none,52,55,49
58,married,sometimes,yes,0.0,school_bus,5 - 10,male,group D,some college,standard,completed,58,59,58
59,married,never,yes,1.0,private,< 5,female,group C,some high school,free/reduced,none,0,17,10
60,married,sometimes,yes,4.0,school_bus,5 - 10,male,group E,bachelor's degree,free/reduced,completed,79,74,72
61,married,regularly,no,3.0,school_bus,5 - 10,male,group A,some high school,free/reduced,none,39,39,34
62,divorced,regularly,no,3.0,school_bus,,male,group A,associate's degree,free/reduced,none,62,61,55
63,single,sometimes,yes,3.0,school_bus,5 - 10,female,group C,associate's degree,standard,none,69,80,71
64,divorced,sometimes,yes,3.0,private,> 10,female,group D,some high school,standard,none,59,58,59
65,single,regularly,yes,1.0,private,5 - 10,male,group B,some high school,standard,none,67,64,61
66,divorced,never,yes,3.0,school_bus,5 - 10,male,group D,some high school,free/reduced,none,45,37,37
67,married,sometimes,yes,2.0,private,< 5,female,group C,some college,standard,none,60,72,74
68,divorced,sometimes,no,,school_bus,5 - 10,male,group B,associate's degree,free/reduced,none,61,58,56
69,,sometimes,no,5.0,school_bus,5 - 10,female,group C,associate's degree,standard,none,39,64,57
70,,regularly,yes,,,5 - 10,female,group D,some college,free/reduced,completed,58,63,73
71,divorced,sometimes,yes,2.0,school_bus,> 10,male,group D,some college,standard,completed,63,55,63
72,divorced,never,yes,1.0,school_bus,5 - 10,female,group A,associate's degree,free/reduced,none,41,51,48
73,married,regularly,yes,0.0,private,> 10,male,group C,some high school,free/reduced,none,61,57,56
74,married,sometimes,yes,0.0,private,,male,group C,some high school,standard,none,49,49,41
