id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
0,,,,,,,,,,,,72,72,74
1,,,,,,,,,,,,69,90,88
2,,,,,,,,,,,,90,95,93
3,,,,,,,,,,,,47,57,44
4,,,,,,,,,,,,76,78,75
5,,,,,,,,,,,,71,83,78
6,,,,,,,,,,,,88,95,92
7,,,,,,,,,,,,40,43,39
8,,,,,,,,,,,,64,64,67
9,,,,,,,,,,,,38,60,50
10,,,,,,,,,,,,58,54,52
11,,,,,,,,,,,,40,52,43
12,,,,,,,,,,,,65,81,73
13,,,,,,,,,,,,78,72,70
14,,,,,,,,,,,,50,53,58
15,,,,,,,,,,,,69,75,78
16,,,,,,,,,,,,88,89,86
17,,,,,,,,,,,,18,32,28
18,,,,,,,,,,,,46,42,46
19,,,,,,,,,,,,54,58,61
20,,,,,,,,,,,,66,69,63
21,,,,,,,,,,,,65,75,70
22,,,,,,,,,,,,44,54,53
23,,,,,,,,,,,,69,73,73
24,,,,,,,,,,,,74,71,80
25,,,,,,,,,,,,73,74,72
26,,,,,,,,,,,,69,54,55
27,,,,,,,,,,,,67,69,75
28,,,,,,,,,,,,70,70,65
29,,,,,,,,,,,,62,70,75
30,,,,,,,,,,,,69,74,74
31,,,,,,,,,,,,63,65,61
32,,,,,,,,,,,,56,72,65
33,,,,,,,,,,,,40,42,38
34,,,,,,,,,,,,97,87,82
35,,,,,,,,,,,,81,81,79
36,,,,,,,,,,,,74,81,83
37,,,,,,,,,,,,50,64,59
38,,,,,,,,,,,,75,90,88
39,,,,,,,,,,,,57,56,57
40,,,,,,,,,,,,55,61,54
41,,,,,,,,,,,,58,73,68
42,,,,,,,,,,,,53,58,65
43,,,,,,,,,,,,59,65,66
44,,,,,,,,,,,,50,56,54
45,,,,,,,,,,,,65,54,57
46,,,,,,,,,,,,55,65,62
47,,,,,,,,,,,,66,71,76
48,,,,,,,,,,,,57,74,76
49,,,,,,,,,,,,82,84,82
50,,,,,,,,,,,,53,55,48
51,,,,,,,,,,,,77,69,68
52,,,,,,,,,,,,53,44,42
53,,,,,,,,,,,,88,78,75
54,,,,,,,,,,,,71,84,87
55,,,,,,,,,,,,33,41,43
56,,,,,,,,,,,,82,85,86
57,,,,,,,,,,,,52,55,49
58,,,,,,,,,,,,58,59,58
59,,,,,,,,,,,,0,17,10
60,,,,,,,,,,,,79,74,72
61,,,,,,,,,,,,39,39,34
62,,,,,,,,,,,,62,61,55
63,,,,,,,,,,,,69,80,71
64,,,,,,,,,,,,59,58,59
65,,,,,,,,,,,,67,64,61
66,,,,,,,,,,,,45,37,37
67,,,,,,,,,,,,60,72,74
68,,,,,,,,,,,,61,58,56
69,,,,,,,,,,,,39,64,57
70,,,,,,,,,,,,58,63,73
71,,,,,,,,,,,,63,55,63
72,,,,,,,,,,,,41,51,48
73,,,,,,,,,,,,61,57,56
74,,,,,,,,,,,,49,49,41
75,,,,,,,,,,,,44,41,38
